Key,en,hi,ar,es,fr
Edit Service Item,Edit Service Item,सेवा मद संपादित करें,تحرير عنصر الخدمة,Editar artículo de servicio,Modifier l'article de service
Heading,Heading,शीर्षक,عنوان,Título,Titre
Sub Heading,Sub Heading,उप शीर्षक,العنوان الفرعي,Subtítulo,Sous-titre
Edit Statistics Item,Edit Statistics Item,सांख्यिकी आइटम संपादित करें,تحرير عنصر الإحصائيات,Editar elemento de estadísticas,Modifier l'élément de statistiques
Edit Testimonial Item,Edit Testimonial Item,प्रशंसापत्र आइटम संपादित करें,تحرير عنصر الشهادة,Editar elemento de testimonio,Modifier l'élément de témoignage
Add Video Item,Add Video Item,वीडियो आइटम जोड़ें,إضافة عنصر فيديو,Agregar elemento de video,Ajouter un élément vidéo
Edit Video Item,Edit Video Item,वीडियो आइटम संपादित करें,تحرير عنصر الفيديو,Editar elemento de vídeo,Modifier l'élément vidéo
Edit Why Choose Us Item,Edit Why Choose Us Item,संपादित करें हमें आइटम क्यों चुनें,تحرير لماذا تختار لنا العنصر,Editar ¿Por qué elegirnos?,Modifier Pourquoi nous choisir
Subscribers,Subscribers,ग्राहकों,المشتركين,Suscriptores,Abonnés
Support Chat,Support Chat,समर्थन चैट,دعم الدردشة,Chat de soporte,Chat d'assistance
Ticket ID,Ticket ID,टिकट आईडी,معرف التذكرة,ID del billete,Identifiant du billet
Support Ticket,Support Ticket,समर्थन टिकट,تذكرة الدعم,Boleto de soporte,Billet d'assistance
All Ticket,All Ticket,सभी टिकट,جميع التذاكر,Todos los boletos,Tous les billets
User Overview,User Overview,उपयोगकर्ता अवलोकन,نظرة عامة على المستخدم,Descripción general del usuario,Présentation de l'utilisateur
Full Name,Full Name,पूरा नाम,الاسم الكامل,Nombre completo,Nom et prénom
Status,Status,स्थिति,حالة,Estado,Statut
Last Login,Last Login,आखरी लॉगइन,تسجيل الدخول الأخير,Último inicio de sesión,Dernière connexion
Information of User,Information of User,उपयोगकर्ता की जानकारी,معلومات المستخدم,Información del Usuario,Informations de l'utilisateur
Phone Number,Phone Number,फ़ोन नंबर,رقم التليفون,Número de teléfono,Numéro de téléphone
Email To Users,Email To Users,उपयोगकर्ताओं को ईमेल करें,البريد الإلكتروني للمستخدمين,Enviar correo electrónico a los usuarios,Envoyer un e-mail aux utilisateurs
Select Users,Select Users,उपयोगकर्ता चुनें,حدد المستخدمين,Seleccionar usuarios,Sélectionnez les utilisateurs
all,all,सभी,الجميع,todo,tous
All Users,All Users,सभी उपयोगकर्ता,كافة المستخدمين,Todos los usuarios,Tous les utilisateurs
Email Unverified,Email Unverified,ईमेल असत्यापित,لم يتم التحقق من البريد الإلكتروني,Correo electrónico no verificado,E-mail non vérifié
Banned,Banned,प्रतिबंधित,محظور,Prohibido,Interdit
User Login Logs,User Login Logs,उपयोगकर्ता लॉगिन लॉग,سجلات دخول المستخدم,Registros de inicio de sesión de usuario,Journaux de connexion des utilisateurs
User Email Logs,User Email Logs,उपयोगकर्ता ईमेल लॉग,سجلات البريد الإلكتروني للمستخدم,Registros de correo electrónico del usuario,Journaux de courrier électronique des utilisateurs
Web Settings,Web Settings,वेब सेटिंग्स,إعدادات الويب,Configuración web,Paramètres Web
Basic Settings,Basic Settings,बुनियादी सेटिंग्स,الإعدادات الأساسية,Configuraciones básicas,Paramètres de base
Site Base Color,Site Base Color,साइट का आधार रंग,اللون الأساسي للموقع,Color base del sitio,Couleur de base du site
Site Secondary Color,Site Secondary Color,साइट द्वितीयक रंग,اللون الثانوي للموقع,Color secundario del sitio,Couleur secondaire du site
OTP Expiration,OTP Expiration,ओटीपी समाप्ति,انتهاء صلاحية OTP,Vencimiento de la OTP,Expiration du OTP
Seconds,Seconds,सेकंड,ثواني,Artículos de segunda clase,Secondes
Activation Settings,Activation Settings,सक्रियण सेटिंग्स,إعدادات التنشيط,Configuración de activación,Paramètres d'activation
Search Engine Optimization (SEO),Search Engine Optimization (SEO),खोज इंजन अनुकूलन (एसईओ),تحسين محركات البحث (SEO),Optimización de motores de búsqueda (SEO),Optimisation des moteurs de recherche (SEO)
Unauthorized,Unauthorized,अनधिकृत,غير مصرح به,No autorizado,Non autorisé
Back To Home,Back To Home,घर वापिस जा रहा हूँ,العودة إلى المنزل,Volver a casa,Retour à la maison
Forbidden,Forbidden,निषिद्ध,مُحرَّم,Prohibido,Interdit
Page Not Found,Page Not Found,पृष्ठ नहीं मिला,لم يتم العثور على الصفحة,Página no encontrada,Page introuvable
Page Expired,Page Expired,पेज समाप्त हो गया,انتهت صلاحية الصفحة,Página caducada,Page expirée
Server Error,Server Error,सर्वर त्रुटि,خطأ في الخادم,Error del servidor,Erreur de serveur
Categories,Categories,श्रेणियाँ,فئات,Categorías,Catégories
Recent Posts,Recent Posts,हाल के पोस्ट,المشاركات الأخيرة,Publicaciones recientes,Messages récents
Blog Details,Blog Details,ब्लॉग विवरण,تفاصيل المدونة,Detalles del blog,Détails du blog
Booking Preview,Booking Preview,बुकिंग पूर्वावलोकन,معاينة الحجز,Vista previa de la reserva,Aperçu de la réservation
N/A,N/A,एन/ए,لا يوجد,N / A,N / A
Fees,Fees,फीस,مصاريف,Honorarios,Frais
Total Amount,Total Amount,कुल राशि,المبلغ الإجمالي,Monto total,Montant total
Already Confirmed,Already Confirmed,पहले ही पुष्टि हो चुकी है,تم التأكيد بالفعل,Ya confirmado,Déjà confirmé
Confirm Booking,Confirm Booking,बुकिंग की पुष्टि करें,تأكيد الحجز,Confirmar reserva,Confirmer la réservation
Booking A Car,Booking A Car,एक कार की बुकिंग,حجز سيارة,Reservar un coche,Réservation d'une voiture
Phone No,Phone No,फोन नंबर,رقم الهاتف,Número de teléfono,Numéro de téléphone
Pick-up Location,Pick-up Location,लेने की जगह,موقع البيك اب,Lugar de recogida,Lieu de prise en charge
Pick-up Date,Pick-up Date,पिक करने की तिथि,تاريخ الاستلام,Fecha de recogida,Date de prise en charge
Pick-up Time,Pick-up Time,उठान का समय,وقت الاستلام,Hora de recogida,Heure de prise en charge
Round Trip?,Round Trip?,राउंड ट्रिप?,رحلة ذهابا وإيابا؟,¿Ida y vuelta?,Aller-retour ?
Note,Note,टिप्पणी,ملحوظة,Nota,Note
Send Booking Request,Send Booking Request,बुकिंग अनुरोध भेजें,إرسال طلب الحجز,Enviar solicitud de reserva,Envoyer une demande de réservation
Send Message,Send Message,मेसेज भेजें,أرسل رسالة,Enviar mensaje,Envoyer un message
Profile Settings,Profile Settings,प्रोफ़ाइल सेटिंग्स,إعدادات الملف الشخصي,Configuración de perfil,Paramètres du profil
modal,modal,मॉडल,مشروط,modal,modal
Delete Account,Delete Account,खाता हटा दो,حذف الحساب,Eliminar cuenta,Supprimer le compte
First Name,First Name,पहला नाम,الاسم الأول,Nombre de pila,Prénom
Enter First Name,Enter First Name,प्रथम नाम दर्ज करें,أدخل الاسم الأول,Introduzca el nombre,Entrez le prénom
Last Name,Last Name,उपनाम,اسم العائلة,Apellido,Nom de famille
Enter Last Name,Enter Last Name,अंतिम नाम दर्ज करो,أدخل الاسم الأخير,Ingrese el apellido,Entrez le nom de famille
Country,Country,देश,دولة,País,Pays
Address,Address,पता,عنوان,DIRECCIÓN,Adresse
Enter Address,Enter Address,पता दर्ज करें,أدخل العنوان,Introduzca la dirección,Entrez l'adresse
Zip Code,Zip Code,ज़िप कोड,الرمز البريدي,Código postal,Code postal
Enter ZipCode,Enter ZipCode,ज़िप कोड डालें,أدخل الرمز البريدي,Ingrese el código postal,Entrez le code postal
Current Password,Current Password,वर्तमान पासवर्ड,كلمة المرور الحالية,Contraseña actual,Mot de passe actuel
Password,Password,पासवर्ड,كلمة المرور,Contraseña,Mot de passe
Change,Change,परिवर्तन,يتغير,Cambiar,Changement
Are you sure to delete your account?,Are you sure to delete your account?,क्या आप निश्चित रूप से अपना खाता हटाना चाहते हैं?,هل أنت متأكد من حذف حسابك؟,¿Estás seguro de eliminar tu cuenta?,Êtes-vous sûr de supprimer votre compte ?
If you do not think you will use,If you do not think you will use,अगर आपको नहीं लगता तो आप इस्तेमाल करेंगे,إذا كنت لا تعتقد أنك سوف تستخدم,Si no crees que lo usarás,Si vous ne pensez pas utiliser
"again and like your account deleted. Keep in mind you will not be able to reactivate your account or retrieve any of the content or information you have added. If you would still like your account deleted, click “Delete Account”.?","again and like your account deleted. Keep in mind you will not be able to reactivate your account or retrieve any of the content or information you have added. If you would still like your account deleted, click “Delete Account”.?","फिर से और जैसे आपका खाता हटा दिया गया है। ध्यान रखें कि आप अपने खाते को पुनः सक्रिय नहीं कर पाएंगे या आपके द्वारा जोड़ी गई किसी भी सामग्री या जानकारी को पुनः प्राप्त नहीं कर पाएंगे। यदि आप अभी भी अपना खाता हटाना चाहते हैं, तो ""खाता हटाएं"" पर क्लिक करें।","مرة أخرى ومثل حذف حسابك. ضع في اعتبارك أنك لن تتمكن من إعادة تنشيط حسابك أو استرداد أي من المحتوى أو المعلومات التي أضفتها. إذا كنت لا تزال ترغب في حذف حسابك، فانقر فوق ""حذف الحساب"".","nuevamente y dale me gusta a tu cuenta eliminada. Tenga en cuenta que no podrá reactivar su cuenta ni recuperar el contenido o la información que haya agregado. Si aún desea eliminar su cuenta, haga clic en ""Eliminar cuenta"".","encore et comme votre compte supprimé. Gardez à l’esprit que vous ne pourrez pas réactiver votre compte ni récupérer le contenu ou les informations que vous avez ajoutés. Si vous souhaitez toujours supprimer votre compte, cliquez sur « Supprimer le compte ». ?"
Confirm,Confirm,पुष्टि करना,يتأكد,Confirmar,Confirmer
Subscribe,Subscribe,सदस्यता लें,يشترك,Suscribir,S'abonner
Get It On,Get It On,इसे चालू करो,احصل عليه,Consíguelo,Obtenez-le
Google Play,Google Play,गूगल प्ले,جوجل بلاي,GooglePlay,Google Play
Download On The,Download On The,पर डाउनलोड करें,تحميل على,Descargar en el,Télécharger sur le
Apple Store,Apple Store,सेब दुकान,متجر أبل,Tienda Apple,Apple Store
Total Seat ,Total Seat ,कुल सीट ,إجمالي المقعد ,Asiento total ,Siège total 
Per Km,Per Km,प्रति कि.मी,لكل كيلومتر,Por Km,Par Km
 Year Experience, Year Experience, वर्ष का अनुभव, خبرة سنة, Año de experiencia, Année d'expérience
Book Now,Book Now,अभी बुक करें,احجز الآن,Reserva ahora,Réservez maintenant
Car not found!,Car not found!,कार नहीं मिली!,لم يتم العثور على السيارة!,¡Coche no encontrado!,Voiture introuvable !
Search,Search,खोज,يبحث,Buscar,Recherche
Email,Email,ईमेल,بريد إلكتروني,Correo electrónico,E-mail
credentials,credentials,साख,أوراق اعتماد,cartas credenciales,informations d'identification
Forgot Password,Forgot Password,पासवर्ड भूल गए,هل نسيت كلمة السر,Has olvidado tu contraseña,Mot de passe oublié
Don,Don,अगुआ,اِتَّشَح,Don,Enfiler
firstname,firstname,पहला नाम,الاسم الأول,nombre de pila,prénom
lastname,lastname,उपनाम,اسم العائلة,apellido,nom de famille
I have agreed with,I have agreed with,मैं इससे सहमत हूं,لقد اتفقت مع,he estado de acuerdo con,je suis d'accord avec
Terms Of Use,Terms Of Use,उपयोग की शर्तें,شروط الاستخدام,Condiciones de uso,Conditions d'utilisation
Privacy Policy,Privacy Policy,गोपनीयता नीति,سياسة الخصوصية,política de privacidad,politique de confidentialité
Register Now,Register Now,अभी पंजीकरण करें,سجل الآن,Regístrese ahora,Inscrivez-vous maintenant
Already Have An Account?,Already Have An Account?,क्या आपके पास पहले से एक खाता मौजूद है?,هل لديك حساب بالفعل؟,¿Ya tienes una cuenta?,Vous avez déjà un compte ?
Please check your email address to get the OTP (One time password).,Please check your email address to get the OTP (One time password).,ओटीपी (वन टाइम पासवर्ड) प्राप्त करने के लिए कृपया अपना ईमेल पता जांचें।,يرجى التحقق من عنوان بريدك الإلكتروني للحصول على OTP (كلمة المرور لمرة واحدة).,Verifique su dirección de correo electrónico para obtener la OTP (contraseña de un solo uso).,Veuillez vérifier votre adresse e-mail pour obtenir l'OTP (mot de passe à usage unique).
Enter New Password,Enter New Password,नया पासवर्ड दर्ज करें,أدخل كلمة المرور الجديدة,Ingrese una nueva contraseña,Entrez un nouveau mot de passe
Account Authorization,Account Authorization,खाता प्राधिकरण,ترخيص الحساب,Autorización de cuenta,Autorisation de compte
History,History,इतिहास,تاريخ,Historia,Histoire
Logout,Logout,लॉग आउट,تسجيل الخروج,Cerrar sesión,Déconnexion
Help Center,Help Center,सहायता केंद्र,مركز المساعدة,Centro de ayuda,Centre d'aide
Please Contact Our Support,Please Contact Our Support,कृपया हमारे समर्थन से संपर्क करें,يرجى الاتصال بالدعم لدينا,Por favor contacte nuestro soporte,Veuillez contacter notre support
Get Support,Get Support,समर्थन प्राप्त करें,احصل على الدعم,Obtenga soporte,Obtenir de l'aide
Are you sure to,Are you sure to,क्या आप निश्चित हैं,هل أنت متأكد من ذلك,¿Estás seguro de,Êtes-vous sûr de
Notification Not Found!,Notification Not Found!,अधिसूचना नहीं मिली!,لم يتم العثور على الإخطار!,¡Notificación no encontrada!,Notification introuvable !
History List,History List,इतिहास सूची,قائمة التاريخ,Lista de Historia,Liste historique
Booked,Booked,बुक्ड,حجزت,Reservado,Réservé
Unreserved,Unreserved,निष्कपट,غير متحفظ,No reservado,Sans réserve
Add New Ticket,Add New Ticket,नया टिकट जोड़ें,إضافة تذكرة جديدة,Agregar nuevo boleto,Ajouter un nouveau billet
Enter Email,Enter Email,ईमेल दर्ज करें,أدخل البريد الإلكتروني,Ingrese el correo electrónico,Entrez l'e-mail
Enter Subject,Enter Subject,विषय दर्ज करें,أدخل الموضوع,Ingresar Asunto,Entrez le sujet
Write Here,Write Here,यहाँ लिखें,اكتب هنا,Escribe aquí,Écrivez ici
Add New,Add New,नया जोड़ो,أضف جديد,Agregar nuevo,Ajouter un nouveau
Support Tickets,Support Tickets,समर्थन टिकट,تذاكر الدعم,Boletos de soporte,Billets d'assistance
User,User,उपयोगकर्ता,مستخدم,Usuario,Utilisateur
Last Reply,Last Reply,अंतिम उत्तर,الرد الأخير,Última respuesta,Dernière réponse
About,About,के बारे में,عن,Acerca de,À propos
Find Car,Find Car,कार खोजें,ابحث عن سيارة,encontrar coche,Trouver une voiture
Services,Services,सेवाएं,خدمات,Servicios,Services
Blog,Blog,ब्लॉग,مدونة,Blog,Blogue
Contact,Contact,संपर्क,اتصال,Contacto,Contact
Rentify,Rentify,किराये पर देना,رينتيفاي,Rentificar,Rentifier
Image Assets,Image Assets,छवि संपत्ति,أصول الصورة,Recursos de imagen,Actifs d’image
Car Areas,Car Areas,कार क्षेत्र,مناطق السيارات,Áreas de coches,Aires de stationnement
Defaults,Defaults,चूक,الافتراضيات,Valores predeterminados,Valeurs par défaut
Interface Panel,Interface Panel,इंटरफ़ेस पैनल,لوحة الواجهة,Panel de interfaz,Panneau d'interface
Admin Role,Admin Role,व्यवस्थापक भूमिका,دور المشرف,Rol de administrador,Rôle d'administrateur
Role Permission,Role Permission,भूमिका की अनुमति,إذن الدور,Permiso de rol,Autorisation de rôle
Verification Center,Verification Center,सत्यापन केंद्र,مركز التحقق,Centro de verificación,Centre de vérification
Setup Notification,Setup Notification,सेटअप अधिसूचना,إشعار الإعداد,Notificación de configuración,Notification de configuration
Clear Cache,Clear Cache,कैश को साफ़ करें,مسح ذاكرة التخزين المؤقت,Borrar caché,Vider le cache
Send OTP,Send OTP,ओटीपी भेजें,أرسل كلمة مرور لمرة واحدة,Enviar OTP,Envoyer OTP
Pending Ticket,Pending Ticket,लंबित टिकट,تذكرة معلقة,Boleto pendiente,Billet en attente
Active Ticket,Active Ticket,सक्रिय टिकट,تذكرة نشطة,Boleto Activo,Billet actif
Solved Ticket,Solved Ticket,हल टिकट,تذكرة محلولة,Boleto resuelto,Billet résolu
Site Name,Site Name,जगह का नाम,اسم الموقع,Nombre del sitio,Nom du site
Site Title,Site Title,घटनास्थल शीर्षक,عنوان الموقع,Título del sitio,Titre du site
Country Code,Country Code,कंट्री कोड,رمز البلد,Código del país,Code du pays
Google Api Key,Google Api Key,गूगल एपीआई कुंजी,مفتاح جوجل API,Clave API de Google,Clé API Google
Web Version,Web Version,वेब संस्करण,نسخة الويب,Versión Web,Version Web
User Registration,User Registration,उपयोगकर्ता पंजीकरण,تسجيل المستخدم,Registro de usuario,Inscription des utilisateurs
Secure Password,Secure Password,सुरक्षित पासवर्ड,كلمة مرور آمنة,Contraseña segura,Mot de passe sécurisé
Agree Policy,Agree Policy,सहमत नीति,الموافقة على السياسة,Política de acuerdo,Accepter la politique
Force SSL,Force SSL,एसएसएल को बाध्य करें,فرض SSL,Forzar SSL,Forcer SSL
Email Verification,Email Verification,ईमेल सत्यापन,التحقق من البريد الإلكتروني,Verificación de correo electrónico,Vérification par e-mail
Email Notification,Email Notification,ईमेल अधिसूचना,إشعار البريد الإلكتروني,Notificación por correo electrónico,Notification par courrier électronique
Not Replied,Not Replied,उत्तर नहीं दिया गया,لم يتم الرد,No respondido,Pas de réponse
Login Logs,Login Logs,लॉगइन लॉग्स,سجلات تسجيل الدخول,Registros de inicio de sesión,Journaux de connexion
Permission Group,Permission Group,अनुमति समूह,مجموعة الأذونات,Grupo de permisos,Groupe d'autorisations
Zip,Zip,ज़िप,أَزِيز,Cremallera,Fermeture éclair
User Status,User Status,उपयोगकर्ता स्थिति,حالة المستخدم,Estado de usuario,Statut de l'utilisateur
SL,SL,क्र,إس إل,SL,SL
IP,IP,आई पी,الملكية الفكرية,IP,PI
MAC,MAC,मैक,ماك,IMPERMEABLE,MAC
OS,OS,ओएस,نظام التشغيل,SO,Système d'exploitation
Browser,Browser,ब्राउज़र,المتصفح,Navegador,Navigateur
Login at,Login at,पर लॉगिन करें,تسجيل الدخول في,Inicia sesión en,Connectez-vous à
Assign Admin,Assign Admin,व्यवस्थापक नियुक्त करें,تعيين المشرف,Asignar administrador,Attribuer un administrateur
Role Name,Role Name,भूमिका का नाम,اسم الدور,Nombre del rol,Nom du rôle
Permission Name,Permission Name,अनुमति का नाम,اسم الإذن,Nombre del permiso,Nom de l'autorisation
URI,URI,यूआरआई,URI,URI,URI
Logo (Light Version),Logo (Light Version),लोगो (हल्का संस्करण),الشعار (النسخة الخفيفة),Logotipo (versión ligera),Logo (version légère)
Logo (Dark Version),Logo (Dark Version),लोगो (डार्क संस्करण),الشعار (الإصدار الداكن),Logotipo (versión oscura),Logo (version sombre)
Favicon (Light Version),Favicon (Light Version),फ़ेविकॉन (लाइट संस्करण),الأيقونة المفضلة (الإصدار الخفيف),Favicon (versión ligera),Icône de favori (version légère)
Favicon (Dark Version),Favicon (Dark Version),फ़ेविकॉन (डार्क संस्करण),الأيقونة المفضلة (الإصدار الداكن),Favicon (versión oscura),Icône de favori (version sombre)
App Version,App Version,एप्लिकेशन वेरीज़न,إصدار التطبيق,Versión de la aplicación,Version de l'application
Android App URL,Android App URL,एंड्रॉइड ऐप यूआरएल,عنوان URL لتطبيق Android,URL de la aplicación de Android,URL de l'application Android
iOS App URL,iOS App URL,आईओएस ऐप यूआरएल,عنوان URL لتطبيق iOS,URL de la aplicación iOS,URL de l'application iOS
Import,Import,आयात,يستورد,Importar,Importer
Download,Download,डाउनलोड करना,تحميل,Descargar,Télécharger
Language Name,Language Name,भाषा का नाम,اسم اللغة,Nombre del idioma,Nom de la langue
Language Code,Language Code,भाषा कोड,رمز اللغة,Código de idioma,Code de langue
file,file,फ़ाइल,ملف,archivo,déposer
Send Mail,Send Mail,मेल भेजने,إرسال البريد,Enviar correo,Envoyer un courrier
Host,Host,मेज़बान,يستضيف,Anfitrión,Hôte
Port,Port,पत्तन,ميناء,Puerto,Port
Encryption,Encryption,कूटलेखन,التشفير,Cifrado,Cryptage
Default Template,Default Template,डिफ़ॉल्ट टेम्पलेट,القالب الافتراضي,Plantilla predeterminada,Modèle par défaut
Email Body,Email Body,ईमेल बॉडी,هيئة البريد الإلكتروني,Cuerpo del correo electrónico,Corps de l'e-mail
"Heading*(To specify the color of the heading text, kindly define the desired color within the third set of brackets)","Heading*(To specify the color of the heading text, kindly define the desired color within the third set of brackets)","शीर्षक*(शीर्षक पाठ का रंग निर्दिष्ट करने के लिए, कृपया कोष्ठक के तीसरे सेट के भीतर वांछित रंग परिभाषित करें)",العنوان*(لتحديد لون نص العنوان، يرجى تحديد اللون المطلوب ضمن المجموعة الثالثة من الأقواس),"Encabezado*(Para especificar el color del texto del encabezado, defina amablemente el color deseado dentro del tercer conjunto de corchetes)","Titre*(Pour spécifier la couleur du texte du titre, veuillez définir la couleur souhaitée entre les troisièmes crochets)"
Button Name,Button Name,बटन का नाम,اسم الزر,Nombre del botón,Nom du bouton
Button Link,Button Link,बटन लिंक,رابط الزر,Enlace de botón,Lien du bouton
Section Title,Section Title,अनुभाग शीर्षक,عنوان القسم,Título de la sección,Titre de la section
Description Title,Description Title,विवरण शीर्षक,عنوان الوصف,Descripción Título,Description Titre
Location Title,Location Title,स्थान शीर्षक,عنوان الموقع,Título de la ubicación,Titre du lieu
Call Title,Call Title,कॉल शीर्षक,عنوان المكالمة,Título de la llamada,Titre de l'appel
Mobile,Mobile,गतिमान,متحرك,Móvil,Mobile
Email Title,Email Title,ईमेल शीर्षक,عنوان البريد الإلكتروني,Título del correo electrónico,Titre de l'e-mail
Item Title,Item Title,मद शीर्षक,عنوان العنصر,Título del artículo,Titre de l'article
Item Description,Item Description,आइटम विवरण,وصف السلعة,Descripción del artículo,Description de l'article
Item Section Icon,Item Section Icon,आइटम अनुभाग चिह्न,رمز قسم العنصر,Icono de sección de artículo,Icône de section d'article
Item Name,Item Name,आइटम नाम,اسم العنصر,Nombre del artículo,Nom de l'article
Add Category,Add Category,श्रेणी जोड़ना,أضف فئة,Agregar categoría,Ajouter une catégorie
Footer Text,Footer Text,पादलेख पाठ,نص التذييل,Texto de pie de página,Texte du pied de page
Short Description,Short Description,संक्षिप्त वर्णन,وصف قصير,Breve descripción,Brève description
Subscribe Title,Subscribe Title,शीर्षक सदस्यता लें,عنوان الاشتراك,Suscribir Título,Abonnez-vous Titre
Icon Title,Icon Title,चिह्न शीर्षक,عنوان الأيقونة,Título del icono,Titre de l'icône
Item Social Icon,Item Social Icon,आइटम सामाजिक चिह्न,رمز العنصر الاجتماعي,Icono social del artículo,Icône sociale de l'article
Item Link,Item Link,आइटम लिंक,رابط السلعة,Enlace del artículo,Lien vers l'article
Login Heading,Login Heading,लॉगिन शीर्षक,عنوان تسجيل الدخول,Iniciar sesión,Rubrique Connexion
Login Sub Heading,Login Sub Heading,उपशीर्षक लॉगिन करें,تسجيل الدخول العنوان الفرعي,Subtítulo de inicio de sesión,Sous-titre de connexion
Register Heading,Register Heading,शीर्षक पंजीकृत करें,تسجيل العنوان,Registro Encabezado,En-tête du registre
Register Sub Heading,Register Sub Heading,उपशीर्षक पंजीकृत करें,تسجيل العنوان الفرعي,Registrar subtítulo,Sous-titre du registre
Forgot Heading,Forgot Heading,शीर्षक भूल गये,نسيت العنوان,Olvidé el rumbo,Titre oublié
Forgot Sub Heading,Forgot Sub Heading,उपशीर्षक भूल गये,نسيت العنوان الفرعي,Olvidé el subtítulo,Sous-titre oublié
Page Name,Page Name,पेज का नाम,اسم الصفحة,Nombre de la página,Nom de la page
Useful Link Edit,Useful Link Edit,उपयोगी लिंक संपादित करें,تعديل الرابط المفيد,Enlace útil Editar,Lien utile Modifier
Page,Page,पेज,صفحة,Página,Page
Instance ID,Instance ID,उदाहरण आईडी,معرف المثيل,ID de instancia,ID d'instance
Primary key,Primary key,प्राथमिक कुंजी,المفتاح الأساسي,clave primaria,Clé primaire
APP ID,APP ID,एपीपी आईडी,معرف التطبيق,ID DE APLICACIÓN,Identifiant de l'application
Secret key,Secret key,गुप्त कुंजी,المفتاح السري,clave secreta,Clé secrète
Cluster,Cluster,झुंड,تَجَمَّع,Grupo,Grappe
Body,Body,शरीर,جسم,Cuerpo,Corps
Server Information,Server Information,सर्वर जानकारी,معلومات الخادم,Información del servidor,Informations sur le serveur
Login as Member,Login as Member,सदस्य के रूप में लॉगिन करें,تسجيل الدخول كعضو,Iniciar sesión como miembro,Connectez-vous en tant que membre
Language File,Language File,भाषा फ़ाइल,ملف اللغة,Archivo de idioma,Fichier de langue
Enter Password,Enter Password,पास वर्ड दर्ज करें,أدخل كلمة المرور,Ingrese la contraseña,Entrez le mot de passe
Don't Have An Account,Don't Have An Account,कोई खाता नहीं है,ليس لديك حساب,No tengo una cuenta,Je n'ai pas de compte
Onboard Screen fetched successfully!,Onboard Screen fetched successfully!,ऑनबोर्ड स्क्रीन सफलतापूर्वक लाई गई!,تم جلب الشاشة الموجودة على اللوحة بنجاح!,¡La pantalla integrada se obtuvo correctamente!,Écran embarqué récupéré avec succès !
Splash Screen fetched successfully!,Splash Screen fetched successfully!,स्पलैश स्क्रीन सफलतापूर्वक प्राप्त हुई!,تم جلب شاشة البداية بنجاح!,¡La pantalla de bienvenida se obtuvo correctamente!,Écran de démarrage récupéré avec succès !
Languages fetched successfully!,Languages fetched successfully!,भाषाएँ सफलतापूर्वक प्राप्त हुईं!,تم جلب اللغات بنجاح!,¡Idiomas recuperados exitosamente!,Langues récupérées avec succès !
Basic Settings fetched successfully!,Basic Settings fetched successfully!,बुनियादी सेटिंग्स सफलतापूर्वक प्राप्त की गईं!,تم جلب الإعدادات الأساسية بنجاح!,¡La configuración básica se obtuvo correctamente!,Paramètres de base récupérés avec succès !
Car Area Fetched Successfully!,Car Area Fetched Successfully!,कार क्षेत्र सफलतापूर्वक प्राप्त हुआ!,تم جلب منطقة السيارة بنجاح!,¡Área de automóviles obtenida con éxito!,Zone de voiture récupérée avec succès !
Car Type Fetched Successfully!,Car Type Fetched Successfully!,कार का प्रकार सफलतापूर्वक प्राप्त हुआ!,تم جلب نوع السيارة بنجاح!,¡Tipo de coche obtenido con éxito!,Type de voiture récupéré avec succès !
Cars Fetched Successfully!,Cars Fetched Successfully!,कारें सफलतापूर्वक लाई गईं!,تم جلب السيارات بنجاح!,¡Coches recuperados con éxito!,Voitures récupérées avec succès !
Booking list Fetched Successfully!,Booking list Fetched Successfully!,बुकिंग सूची सफलतापूर्वक प्राप्त हुई!,تم جلب قائمة الحجز بنجاح!,¡Lista de reservas obtenida con éxito!,Liste de réservation récupérée avec succès !
Reply,Reply,जवाब,رد,Responder,Répondre
Sub Title,Sub Title,उपशीर्षक,العنوان الفرعي,Subtítulo,Sous-titre
Notification Body,Notification Body,अधिसूचना निकाय,هيئة الإخطار,Organismo de notificación,Corps de notification
Pending,Pending,लंबित,قيد الانتظار,Pendiente,En attente
Solved,Solved,सुलझ गया,تم الحل,Resuelto,Résolu
Conversation,Conversation,बातचीत,محادثة,Conversación,Conversation
Booking Status,Booking Status,बुकिंग स्थिति,حالة الحجز,Estado de la reserva,Statut de la réservation
Update Status,Update Status,अद्यतन स्थिति,تحديث الحالة,Estado de actualización,Statut de la mise à jour
Email Logs,Email Logs,ईमेल लॉग्स,سجلات البريد الإلكتروني,Registros de correo electrónico,Journaux de courrier électronique
Verified,Verified,सत्यापित,تم التحقق منه,Verificado,Vérifié
Unverified,Unverified,असत्यापित,لم يتم التحقق منها,Inconfirmado,Non vérifié
Generate,Generate,उत्पन्न,يولد,Generar,Générer
Select Role,Select Role,भूमिका चुनें,حدد الدور,Seleccionar rol,Sélectionnez un rôle
Select Timezone,Select Timezone,समयक्षेत्र चुनें,حدد المنطقة الزمنية,Seleccionar zona horaria,Sélectionnez le fuseau horaire
Activated,Activated,सक्रिय,تفعيلها,Activado,Activé
Deactivated,Deactivated,निष्क्रिय,معطل,Desactivado,Désactivé
Selectable,Selectable,चयन,قابل للتحديد,Seleccionable,Sélectionnable
